id,liquid_production,oil_production,gas_production,gas_to_oil_ratio,basic_sediment_water,downhole_pressure,sand_production,jumper_pressure
1,855.3,753.9,3523.2,5.98,0.439,2188.8,0.129,1810.5
2,1306.2,816.8,4474.2,8.19,0.324,2103.1,0.266,2093.5
3,1273.3,769.8,4095.5,8.18,0.329,2716.3,0.499,1612.3
4,1090.1,726.8,5556.9,6.84,0.607,2901.3,0.239,1893.1
5,781.8,602.2,4122.1,6.42,0.758,1986.8,0.374,1652.2
6,908.4,458.6,4048.2,7.36,0.746,2550.1,0.306,1906.6
7,1235.4,919.1,6002.7,8.61,0.327,2511.6,0.167,2594.5
8,1361.6,877.0,5806.7,6.28,0.638,3125.8,0.303,1938.8
9,1381.7,602.5,5698.9,6.06,0.735,2785.7,0.247,2431.6
10,873.5,418.6,3948.8,7.95,0.29,2317.4,0.492,1374.5
11,1227.1,924.7,5424.4,8.63,0.242,2765.9,0.434,1975.3
12,1359.3,939.6,6113.8,6.45,0.673,3141.6,0.498,2328.7
13,945.3,828.4,4216.1,7.14,0.351,1939.6,0.114,1521.0
14,1369.4,1000.8,4285.4,8.25,0.604,2584.2,0.521,2132.8
15,1189.3,628.3,5946.2,5.91,0.421,2682.4,0.351,1924.8
16,1014.9,504.3,4876.5,6.27,0.204,2827.3,0.387,1615.5
17,1512.5,1048.6,5211.1,7.41,0.52,3125.0,0.324,2076.6
18,978.1,478.9,4236.0,6.01,0.407,1915.4,0.566,1712.6
19,1015.4,629.3,5417.9,6.88,0.28,2313.9,0.143,1673.7
20,870.1,568.9,5304.9,7.28,0.287,2016.1,0.374,1770.8
